window_ns,ber,energy_pj,window_ns
24.0,0.625,113.21845406112834,24.0
24.0,0.625,120.10605147955854,24.0
24.0,0.75,140.48253162336124,24.0
24.0,0.75,140.4931443276063,24.0
24.0,0.625,112.06130877064426,24.0
24.0,0.875,167.83494964799686,24.0
24.0,0.8125,159.68030544016506,24.0
24.0,0.625,117.90656234507564,24.0
24.0,0.6875,125.62330082123995,24.0
24.0,0.625,118.41140418886556,24.0
24.0,0.8125,151.7348393048181,24.0
24.0,0.8125,155.25242852048146,24.0
24.0,0.5625,108.02033639329262,24.0
24.0,0.625,123.71939722524706,24.0
24.0,0.6875,130.37817433765917,24.0
24.0,0.6875,133.52252050000388,24.0
24.0,0.5625,109.39626716715203,24.0
24.0,0.5625,101.29712312286779,24.0
24.0,0.6875,129.0561980310937,24.0
24.0,0.6875,129.97371776227948,24.0
24.0,0.5625,109.97817317601067,24.0
24.0,0.625,119.65967094838786,24.0
24.0,0.6875,128.35713718482137,24.0
24.0,0.625,114.48551467496017,24.0
24.0,0.625,116.86654405344962,24.0
24.0,0.8125,148.2706968179039,24.0
24.0,0.75,144.1218957632154,24.0
24.0,0.8125,154.91146976433296,24.0
24.0,0.625,121.17884090034828,24.0
24.0,0.5625,103.34475246420324,24.0
24.0,0.5625,108.8480585067199,24.0
24.0,0.5625,107.04828865945086,24.0
24.0,0.75,139.665661031582,24.0
24.0,0.4375,86.76022889763541,24.0
24.0,0.6875,127.61848972915348,24.0
24.0,0.5,93.88891065539846,24.0
24.0,0.6875,134.37813560632722,24.0
24.0,0.75,138.95400413166158,24.0
24.0,0.625,119.3514660652892,24.0
24.0,0.625,120.08865331440862,24.0
24.0,0.8125,153.10613769888485,24.0
24.0,0.875,160.30516384050935,24.0
24.0,0.8125,149.19403363693354,24.0
24.0,0.8125,154.66959810118252,24.0
24.0,0.5625,106.34364039309813,24.0
24.0,0.8125,152.04737521866645,24.0
24.0,0.8125,152.83690545197422,24.0
24.0,0.8125,154.460377590784,24.0
24.0,0.6875,126.62485208296276,24.0
24.0,0.4375,77.31810628240548,24.0
24.0,0.75,143.80130475230936,24.0
24.0,0.6875,126.10594239240234,24.0
24.0,0.625,113.54675811914856,24.0
24.0,0.4375,86.01596283452604,24.0
24.0,0.6875,128.80135087243278,24.0
24.0,0.6875,121.87291897772782,24.0
24.0,0.6875,125.02851866370175,24.0
24.0,0.6875,127.85155093179722,24.0
24.0,0.5625,106.98994383583299,24.0
24.0,0.875,159.28237376808056,24.0
24.0,0.625,115.43008753844516,24.0
24.0,0.75,143.21509589794033,24.0
24.0,0.5625,107.21545220022224,24.0
24.0,0.8125,150.4273462179463,24.0
24.0,0.8125,146.52833083007465,24.0
24.0,0.375,75.0626849910142,24.0
24.0,0.75,140.1906539026451,24.0
24.0,0.8125,151.80315785895684,24.0
24.0,0.5,94.52742967386558,24.0
24.0,0.625,117.18124546539217,24.0
24.0,0.8125,147.16001750140097,24.0
28.0,0.75,169.03530551696937,28.0
28.0,0.75,162.28693978544246,28.0
28.0,0.625,141.3780362601132,28.0
28.0,0.6875,156.05809032288897,28.0
28.0,0.75,168.14980892920045,28.0
28.0,0.5,110.32459422843748,28.0
28.0,0.75,165.46435027041977,28.0
28.0,0.8125,179.78857510423444,28.0
28.0,0.875,188.77899082876138,28.0
28.0,0.75,168.24198555125022,28.0
28.0,0.8125,176.42855951369324,28.0
28.0,0.75,161.12411476453167,28.0
28.0,0.375,82.73199288058251,28.0
28.0,0.75,172.28750651804629,28.0
28.0,0.5,113.88052512701252,28.0
28.0,0.5625,127.66608123461283,28.0
28.0,0.625,136.9766049147774,28.0
28.0,0.875,190.43764894477707,28.0
28.0,0.8125,180.7927495383523,28.0
28.0,0.6875,152.22051522802332,28.0
28.0,0.875,193.33945947535565,28.0
28.0,0.5,108.96609141521184,28.0
28.0,0.4375,99.24940974830753,28.0
28.0,0.625,138.1554461396716,28.0
28.0,0.625,141.8680349212401,28.0
28.0,0.625,132.5502791289895,28.0
28.0,0.75,162.23803911421277,28.0
28.0,0.5625,127.61826233881177,28.0
28.0,0.625,142.4671460281873,28.0
28.0,0.5625,124.71078229613826,28.0
28.0,0.6875,151.32698705502668,28.0
28.0,0.75,161.8116089530748,28.0
28.0,0.625,136.98618342101634,28.0
28.0,0.6875,153.23170780269965,28.0
28.0,0.8125,180.8259754338985,28.0
28.0,0.5,112.7605438452194,28.0
28.0,0.625,139.7050853188354,28.0
28.0,0.6875,151.10712991841297,28.0
28.0,0.4375,102.54273893371733,28.0
28.0,0.5625,122.91040156177606,28.0
28.0,0.8125,179.69839313246874,28.0
28.0,0.6875,145.36120854700297,28.0
28.0,0.625,140.53430333657784,28.0
28.0,0.75,169.07340135686053,28.0
28.0,0.75,156.2614042550002,28.0
28.0,0.625,140.09969851985346,28.0
28.0,0.5,107.86592610040852,28.0
28.0,0.625,134.42504060828193,28.0
28.0,0.8125,184.54548458752788,28.0
28.0,0.6875,151.56666439813878,28.0
28.0,0.625,136.71109078502943,28.0
28.0,0.6875,146.67570626905334,28.0
28.0,0.5,111.14024554137924,28.0
28.0,0.75,166.6838315587612,28.0
28.0,0.625,143.15620123452334,28.0
28.0,0.875,189.39354466668746,28.0
28.0,0.5625,125.0221888837403,28.0
28.0,0.625,138.66665388080233,28.0
28.0,0.625,139.45368419738307,28.0
28.0,0.8125,176.19083790742948,28.0
28.0,0.5625,130.03006666062933,28.0
28.0,0.6875,146.16282276999345,28.0
28.0,0.6875,155.6986514140282,28.0
28.0,0.6875,157.8339569123749,28.0
28.0,0.5625,129.79154133187086,28.0
28.0,0.625,136.90129006252764,28.0
28.0,0.6875,151.32710520648905,28.0
28.0,0.8125,176.35319184264816,28.0
28.0,0.5625,119.86074420867084,28.0
28.0,0.75,163.0245672420567,28.0
28.0,0.6875,150.61631501456176,28.0
28.0,0.75,164.7762790320455,28.0
28.0,0.5,117.53025646847001,28.0
28.0,0.625,137.40888898597836,28.0
28.0,0.6875,144.87642966595328,28.0
28.0,0.625,142.1448705119936,28.0
28.0,0.625,133.38586197253383,28.0
28.0,0.625,136.6857959452737,28.0
28.0,0.625,141.05374019495807,28.0
28.0,1.0,221.71434738613348,28.0
28.0,0.6875,151.55544260189174,28.0
28.0,0.75,163.1039984706127,28.0
28.0,0.6875,153.32826312600713,28.0
28.0,0.5625,127.3644358341758,28.0
28.0,0.6875,146.20047016000035,28.0
28.0,0.6875,148.79168891916657,28.0
28.0,0.625,141.2481932116284,28.0
28.0,0.625,135.5606507156412,28.0
28.0,0.625,134.97220349575664,28.0
28.0,0.6875,151.20688321761605,28.0
28.0,0.875,190.63586110889165,28.0
28.0,0.8125,178.79255367753592,28.0
28.0,0.4375,97.23585646776489,28.0
28.0,0.625,143.89329922038488,28.0
28.0,0.5625,121.44248079927821,28.0
28.0,0.75,166.2490185404084,28.0
28.0,0.75,167.1339878629058,28.0
28.0,0.6875,152.34344414049775,28.0
28.0,0.75,166.87903380694132,28.0
28.0,0.6875,151.26011466597382,28.0
28.0,0.625,138.02208463059873,28.0
28.0,0.75,164.42018424195314,28.0
28.0,0.75,164.61913216006636,28.0
28.0,0.875,191.38248215225832,28.0
28.0,0.6875,157.7038739863759,28.0
28.0,0.4375,102.691183857152,28.0
28.0,0.5,106.18440986907457,28.0
28.0,0.6875,150.06329017132563,28.0
28.0,0.4375,93.29585452283652,28.0
28.0,0.625,139.57206971611512,28.0
28.0,0.625,137.31235796683748,28.0
28.0,0.4375,97.74013438282675,28.0
28.0,0.8125,185.82065197953418,28.0
28.0,0.75,166.82145425493428,28.0
28.0,0.6875,147.51708482763996,28.0
28.0,0.6875,147.04923066869193,28.0
28.0,0.625,139.07055236130824,28.0
28.0,0.8125,172.52086763110367,28.0
28.0,0.75,165.06344537324568,28.0
28.0,0.75,167.91090155706027,28.0
28.0,0.6875,155.39289168782983,28.0
28.0,0.5625,123.87368403181159,28.0
28.0,0.8125,178.1930855784581,28.0
28.0,0.6875,159.29647072592766,28.0
28.0,0.625,140.1304229381133,28.0
28.0,0.75,165.99264935601917,28.0
28.0,0.625,141.01348328511267,28.0
28.0,0.6875,156.17675819566196,28.0
28.0,0.4375,96.1515196577765,28.0
28.0,0.75,172.9757844621532,28.0
28.0,0.625,136.27744091240461,28.0
28.0,0.5625,124.25205606195907,28.0
28.0,0.5625,126.04251991377579,28.0
28.0,0.9375,210.09187517961175,28.0
28.0,0.625,136.8291513239266,28.0
28.0,0.8125,187.73083687986477,28.0
28.0,0.75,169.1525808376046,28.0
28.0,0.625,142.65300108117555,28.0
28.0,0.625,131.16853429771297,28.0
28.0,0.6875,147.44300578461025,28.0
28.0,0.8125,175.9697026233328,28.0
28.0,0.4375,99.2241690171875,28.0
28.0,0.6875,155.50825223571894,28.0
28.0,0.8125,178.06560988019456,28.0
28.0,0.5625,119.13736607729759,28.0
28.0,0.6875,155.62348690766012,28.0
28.0,0.625,137.76791688042724,28.0
28.0,0.5625,123.6900296788473,28.0
28.0,0.6875,154.41011583352108,28.0
28.0,0.625,137.6102885683265,28.0
28.0,0.625,136.151892838549,28.0
28.0,0.6875,156.31846508198527,28.0
28.0,0.6875,148.81111646192838,28.0
28.0,0.6875,153.16398844590083,28.0
28.0,0.6875,156.0263450353549,28.0
28.0,0.625,142.97579636168993,28.0
28.0,0.5625,127.4980285865402,28.0
28.0,0.375,83.5797074565318,28.0
28.0,0.625,141.232038484145,28.0
28.0,0.5625,125.13668687331571,28.0
28.0,0.8125,179.015621495673,28.0
28.0,0.625,135.978130880378,28.0
28.0,0.625,132.27432796897222,28.0
28.0,0.875,189.5589071502632,28.0
28.0,0.75,170.7892839316914,28.0
28.0,0.4375,93.29947554025716,28.0
28.0,0.6875,156.14167415096765,28.0
28.0,0.4375,89.9647277583556,28.0
28.0,0.4375,93.50788078683327,28.0
28.0,0.8125,180.69809565218392,28.0
28.0,0.6875,149.60867701099866,28.0
28.0,0.75,157.96804851757398,28.0
28.0,0.6875,149.19326593133962,28.0
28.0,0.625,139.13256060818276,28.0
28.0,0.8125,181.2021893275433,28.0
28.0,0.5625,126.62384982969706,28.0
28.0,0.8125,177.88856434735743,28.0
28.0,0.75,174.15951358468507,28.0
28.0,0.625,137.59959500995993,28.0
28.0,0.75,163.28885255042582,28.0
28.0,0.8125,183.2165378120881,28.0
28.0,0.875,193.06396770683594,28.0
28.0,0.875,194.74332080348012,28.0
28.0,0.875,188.25249053473104,28.0
28.0,0.5,116.12334142013955,28.0
28.0,0.5625,124.64969224470372,28.0
28.0,0.8125,180.28193672428137,28.0
28.0,0.8125,183.10095875202921,28.0
28.0,0.75,167.33981978854774,28.0
28.0,0.5625,124.14856441909279,28.0
28.0,0.625,132.05503773345927,28.0
28.0,0.6875,147.04443983132643,28.0
28.0,0.5,106.95821983536194,28.0
28.0,0.625,136.44565439105736,28.0
28.0,0.5625,121.83899252208921,28.0
28.0,0.625,139.9330863494973,28.0
28.0,0.625,138.3543997402813,28.0
28.0,0.875,197.4869179591726,28.0
28.0,0.625,145.8223643328468,28.0
28.0,0.75,160.77699353719015,28.0
32.0,0.625,156.55496837030276,32.0
32.0,0.75,189.01449520743995,32.0
32.0,0.8125,206.61948802654092,32.0
32.0,0.8125,210.91645440944959,32.0
32.0,0.5625,150.81483658326914,32.0
32.0,0.6875,180.8468988543438,32.0
32.0,0.625,153.7472851492465,32.0
32.0,0.6875,181.68101790960478,32.0
32.0,0.375,98.39053568965439,32.0
32.0,0.625,157.33967897529794,32.0
32.0,0.6875,170.25154874620583,32.0
32.0,0.625,153.16581608463392,32.0
32.0,0.8125,202.55287226802187,32.0
32.0,0.625,154.26540661834375,32.0
32.0,0.9375,233.63855877659566,32.0
32.0,0.8125,207.1896743403739,32.0
32.0,0.75,183.88851328967147,32.0
32.0,0.6875,172.07464102183653,32.0
32.0,0.6875,170.36231395733373,32.0
32.0,0.75,188.0304402601821,32.0
32.0,0.75,187.11868839323648,32.0
32.0,0.625,160.08387342527502,32.0
32.0,0.6875,171.58942095195863,32.0
32.0,0.8125,206.58036545424173,32.0
32.0,0.875,217.55966338849464,32.0
32.0,0.5625,146.15465312116302,32.0
32.0,0.5625,150.50520558929603,32.0
32.0,0.6875,178.89697550053398,32.0
32.0,0.75,192.08728671793233,32.0
32.0,0.5625,149.05374271121195,32.0
32.0,0.5625,151.32122914956582,32.0
32.0,0.5625,144.67978337838747,32.0
32.0,0.5,125.47468265027315,32.0
32.0,0.75,191.73115716220286,32.0
32.0,0.6875,180.3853433268143,32.0
32.0,0.625,162.63698078266415,32.0
32.0,0.75,194.06305654961014,32.0
32.0,0.625,160.4951337050544,32.0
32.0,0.875,215.04751103594043,32.0
32.0,0.625,161.8366167767648,32.0
32.0,0.625,162.28099280468078,32.0
32.0,0.6875,180.94136150263967,32.0
32.0,0.625,161.84924783555283,32.0
32.0,0.375,94.86386019646183,32.0
32.0,0.6875,184.25311847307648,32.0
32.0,0.625,157.66670674607224,32.0
32.0,0.625,155.3914192523928,32.0
32.0,0.5625,143.86909295729473,32.0
32.0,0.8125,206.54707024230538,32.0
32.0,0.5,131.01469538006052,32.0
32.0,0.8125,205.6730360412332,32.0
32.0,0.625,162.78904415711742,32.0
32.0,0.75,191.46227850566265,32.0
32.0,0.8125,211.07780570311442,32.0
32.0,0.5625,144.9454085333872,32.0
32.0,0.75,190.92045985235842,32.0
32.0,0.5625,147.14095428751912,32.0
32.0,0.8125,204.52456155271315,32.0
32.0,0.5,132.1335225893676,32.0
32.0,0.9375,240.22974937074684,32.0
32.0,0.75,192.80119796875786,32.0
32.0,0.6875,165.61376455202037,32.0
32.0,0.625,159.46025161755068,32.0
32.0,0.75,188.36916777297918,32.0
