sweep_window_ns,ber,energy_pj,window_ns
5.0,0.375,27.570070366506048,4.983252811344051
5.0,0.5,21.22396217361786,4.990073373427718
5.0,0.4375,24.075607699261614,5.008725686809157
5.0,0.4375,24.54991342966973,4.987442362632667
5.0,0.5,20.75077189492361,4.97854481528138
5.0,0.375,26.868929877719626,4.999593985647776
5.0,0.3125,30.059961132225318,5.004297612100073
5.0,0.1875,34.63209690373909,4.987667919131465
5.0,0.125,36.775821353861026,4.993084910491082
5.0,0.5625,19.099721468427614,4.983381459332481
5.0,0.375,26.635972720805412,4.99339906932036
5.0,0.3125,28.888701233610437,4.990868208462148
5.0,0.375,26.041114208153367,4.995942550964513
5.0,0.1875,34.029796064404096,5.014710168911387
5.0,0.375,26.85327529433116,4.992628675545235
5.0,0.125,36.514028833142554,4.996812967316025
5.0,0.3125,28.737840354444067,4.979949223637882
5.0,0.25,31.184907828352785,5.001362145398678
5.0,0.375,26.67635180287859,4.9982036455408645
5.0,0.125,36.10898485463771,4.9997520812293175
5.0,0.3125,26.484754427154197,5.01128446306726
5.0,0.125,34.81710321356663,4.982447516306996
5.0,0.25,32.20350921724704,4.999671094469177
5.0,0.4375,24.784005227446865,5.0043267920991354
5.0,0.4375,23.989719209540983,4.994164930647868
5.0,0.625,15.90091940327579,5.006972561082456
5.0,0.1875,34.384398471797006,4.980456771003706
5.0,0.3125,29.081289299170532,4.99495555176228
5.0,0.25,33.22508383366043,5.003842962366132
5.0,0.5625,16.74861326640967,5.003428514920114
5.0,0.5625,19.76984676941033,5.021778478526726
5.0,0.25,30.88986509364886,5.017542012192654
5.0,0.25,30.862249894973306,5.01387090333957
5.0,0.4375,25.002105199444532,5.009393677687988
5.0,0.0625,38.40962518489625,4.988930337002994
5.0,0.125,36.731223630842166,4.999846274989379
5.0,0.5,21.56221307897678,5.00657106089761
5.0,0.5,22.425475263593963,5.0002753189112825
5.0,0.375,26.831922316537263,5.027876700558591
5.0,0.375,26.458918883318255,4.976629383697198
9.0,0.125,65.68570633073001,8.995891715312872
9.0,0.25,56.06551825546663,8.999611847061264
9.0,0.3125,51.15583547554546,8.998736906486222
9.0,0.25,57.18480670372877,9.005254368627202
